Id_Siniestro,Id_Poliza,Fecha_Siniestro,Monto_Siniestro,Estado,motivo_rechazo
140,21427,2025-10-11,"12.522,96",Abierto,
141,25512,2025-12-26,"8,366.08",Abierto,
142,14587,2026-02-17,-,Abierto,
143,2790,2025-10-13,-,Rechazado,
144,7956,2025-01-01,"8,822.70",Abierto,
145,5744,2025-07-24,3902.65,Abierto,
146,5630,2025-02-16,6370.38,Cerrado,
147,3192,2026-02-21,9549.21,Cerrado,
148,9556,2025-06-19,-,Cerrado,
149,9146,2025-11-14,2981.78,Abierto,
150,14981,2025-01-31,"13.415,37",Rechazado,
151,2464,2025-02-14,"3,627.56",Cerrado,
152,22723,2025-09-09,"9,937.98",Abierto,
153,7402,2025-03-26,nan,Abierto,
154,11333,2026-01-07,nan,Nan,
155,17654,2025-03-22,13419.79,Nan,
156,16853,2025-03-09,"1,390.48",Abierto,
157,22187,2025-03-04,4984.64,Cerrado,
158,8637,2025-02-08,12772.25,Rechazado,
159,2123,2025-11-12,"6,450.16",Cerrado,
160,13528,2025-03-16,3582.61,Abierto,
161,12821,2025-01-29,1663.96,Nan,
162,17558,2025-12-16,2904.94,Abierto,
163,3344,2026-02-01,nan,Cerrado,
164,3953,2025-06-27,14622.50,Cerrado,
165,3478,2025-03-20,"5.989,33",Cerrado,
166,3400,2025-10-30,11123.38,Nan,
167,19661,2025-10-29,5398.38,Cerrado,
168,6501,2025-10-20,3552.32,Cerrado,
169,23178,2025-12-04,4944.75,Cerrado,
170,14794,2025-12-30,nan,Abierto,
171,6401,2025-11-02,"13.258,53",Rechazado,
172,10449,2025-03-29,"3,349.56",Abierto,
173,11295,2025-04-24,"12.085,03",Rechazado,
174,25761,2025-10-12,"9,433.77",Rechazado,
175,6907,2025-12-06,12028.02,Nan,
176,14992,2025-03-10,7840.46,Abierto,
177,15938,2025-11-25,13797.55,Nan,
178,22497,2025-09-24,"12.188,69",Cerrado,
179,12699,2026-01-22,"1.452,35",Nan,
180,13273,2025-01-15,14255.51,Nan,
181,3779,2025-05-19,"2,915.04",Abierto,
182,6051,2025-07-15,"4.083,60",Abierto,
183,15820,2025-06-27,nan,Rechazado,
184,13385,2025-07-08,5142.95,Rechazado,
185,23960,2025-03-25,2485.00,Cerrado,
186,14257,2026-01-14,nan,Abierto,
187,17116,2026-01-25,"8,263.06",Rechazado,
188,9285,2025-07-04,"3,554.71",Nan,
189,11691,2026-01-17,nan,Abierto,
190,15565,2025-06-23,-,Abierto,
191,23374,2025-06-13,14690.50,Cerrado,
192,24819,2025-12-07,"764,29",Abierto,
193,19056,2025-12-02,nan,Abierto,
194,13685,2026-02-08,8942.15,Abierto,
195,3021,2026-02-22,1043.99,Rechazado,
196,4434,2025-03-11,"1,158.74",Cerrado,
197,5812,2025-07-08,"12.806,56",Nan,
198,3833,2025-08-18,"9.016,27",Rechazado,
199,15158,2025-09-12,-,Abierto,
200,8648,2025-03-24,6486.31,Cerrado,
201,10253,2026-01-01,nan,Nan,
202,6793,2025-08-30,nan,Cerrado,
203,21133,2025-07-10,4564.31,Rechazado,
204,11440,2025-01-28,nan,Rechazado,
205,15065,2026-02-09,"14,726.41",Cerrado,
206,5583,2025-03-04,11554.34,Cerrado,
207,10666,2025-03-09,"10,303.63",Abierto,
208,5006,2025-05-24,"4.504,93",Cerrado,
209,16837,2025-08-20,11810.11,Nan,
210,14034,2025-08-20,"12.036,08",Cerrado,
211,18427,2025-12-18,"6.967,73",Cerrado,
212,14352,2025-05-18,"8.847,32",Nan,
213,1279,2025-02-07,"13.118,01",Rechazado,
214,16890,2026-01-25,"2,780.04",Abierto,
215,13337,2025-08-02,14527.75,Abierto,
216,8726,2025-07-23,"4.346,45",Nan,
217,14431,2025-09-27,"2.510,93",Abierto,
218,5896,2025-10-27,10531.67,Cerrado,
219,25727,2026-02-04,nan,Cerrado,
220,2535,2025-12-19,"5.001,06",Abierto,
221,2986,2025-02-12,9139.78,Cerrado,
222,13632,2025-05-06,14814.18,Cerrado,
223,2629,2025-08-10,"3.642,77",Nan,
224,19260,2026-02-14,"5,466.39",Abierto,
225,19366,2025-05-20,851.04,Nan,
226,12950,2025-08-05,"2,683.64",Cerrado,
227,2933,2025-10-17,5919.45,Cerrado,
228,9398,2025-09-26,-,Abierto,
229,16087,2025-06-11,"5.957,36",Cerrado,
230,19159,2025-01-09,"1,517.87",Cerrado,
231,16670,2025-09-17,12582.50,Rechazado,
232,3014,2025-03-07,9726.96,Cerrado,
233,11033,2025-03-04,9170.56,Abierto,
234,16501,2025-10-04,-,Nan,
235,23798,2025-07-10,"10,657.43",Abierto,
236,22678,2025-11-11,nan,Abierto,
237,24184,2025-07-13,"13,713.94",Nan,
238,19973,2025-08-01,nan,Rechazado,
239,22979,2025-11-05,-,Cerrado,
240,15810,2025-03-10,nan,Rechazado,
241,20874,2025-01-29,"5,212.81",Cerrado,
242,10437,2025-06-03,14596.52,Rechazado,
243,9965,2025-02-27,4275.37,Nan,
244,3256,2025-07-09,nan,Abierto,
245,5447,2025-08-20,"14.464,74",Abierto,
246,11329,2025-01-10,11681.88,Abierto,
247,23410,2025-04-29,8598.25,Nan,
248,11871,2026-01-25,804.82,Cerrado,
249,18003,2025-08-02,14986.14,Nan,
250,2158,2025-05-20,nan,Abierto,
251,21022,2025-07-18,nan,Rechazado,
252,2267,2025-01-11,12762.64,Abierto,
253,1765,2026-01-31,10785.64,Abierto,
254,22116,2025-03-14,"5,059.14",Cerrado,
255,24181,2025-02-09,"3,638.10",Nan,
256,1939,2025-11-03,7149.72,Nan,
257,15563,2025-04-27,7905.89,Cerrado,
258,7251,2025-09-04,"359,56",Abierto,
259,19809,2025-09-21,10058.57,Cerrado,
260,17781,2025-03-11,14206.04,Nan,
261,9851,2025-12-31,"1,092.58",Rechazado,
262,17232,2025-02-27,nan,Abierto,
263,6744,2025-05-06,"8.228,53",Abierto,
264,13686,2025-10-09,nan,Abierto,
265,217,2025-12-11,"3,763.55",Abierto,
266,18359,2025-07-22,"11.326,78",Rechazado,
267,13995,2025-09-08,6273.55,Nan,
268,18702,2025-03-11,5803.93,Abierto,
269,20302,2025-11-29,"12,935.03",Nan,
270,21104,2025-08-28,8284.25,Abierto,
271,16423,2025-10-06,"12.531,38",Nan,
272,11306,2025-10-12,"6,748.93",Abierto,
273,14467,2025-03-20,2855.89,Abierto,
274,22521,2025-12-09,6246.09,Nan,
275,19524,2025-09-13,10334.68,Abierto,
276,24025,2025-07-21,12873.15,Cerrado,
277,4835,2025-11-21,"10,216.40",Nan,
278,12350,2026-02-02,"2,215.15",Nan,
279,8178,2025-05-30,10418.51,Rechazado,
280,3145,2025-08-11,"2.935,10",Nan,
281,22881,2025-11-14,197.86,Cerrado,
282,11387,2025-07-02,5370.01,Cerrado,
283,17276,2025-04-06,8841.01,Nan,
284,4685,2025-01-05,"11,406.08",Abierto,
285,17418,2025-04-10,5091.35,Abierto,
286,14149,2025-05-29,"7.311,29",Abierto,
287,17519,2025-11-22,"2.869,86",Rechazado,
288,19817,2025-01-22,"2.321,09",Abierto,
289,2525,2025-01-20,6583.18,Cerrado,
290,23857,2025-07-23,"3,302.24",Cerrado,
291,367,2025-12-04,9606.53,Nan,
292,15112,2025-10-01,2486.04,Cerrado,
293,10362,2025-09-24,"8.077,52",Nan,
294,21932,2026-01-02,9926.07,Abierto,
295,11353,2025-11-06,566.00,Abierto,
296,2362,2026-01-11,-,Rechazado,
297,7821,2025-12-09,"3.566,43",Cerrado,
298,6809,2025-10-20,1486.47,Nan,
299,11447,2026-02-08,"14,867.64",Cerrado,
300,13999,2025-02-23,331.95,Abierto,
301,19710,2025-08-08,"1.424,02",Cerrado,
302,22748,2025-12-04,5352.07,Nan,
303,1719,2025-11-14,-,Abierto,
304,2036,2025-02-21,8381.86,Cerrado,
305,13740,2025-12-25,nan,Abierto,
306,11979,2025-05-24,3782.57,Nan,
307,9896,2026-02-19,9098.49,Nan,
308,15831,2025-07-06,4383.22,Nan,
309,22223,2025-04-03,"11.939,28",Cerrado,
310,18660,2025-11-24,7735.22,Nan,
311,16425,2025-05-02,10081.65,Cerrado,
312,15669,2026-02-05,"2,986.38",Abierto,
313,12886,2025-03-26,-,Abierto,
314,6169,2025-08-08,nan,Cerrado,
315,6480,2025-10-28,13359.79,Rechazado,
316,19243,2025-11-19,2098.28,Nan,
317,7504,2025-12-06,"6,038.60",Nan,
318,18504,2025-12-17,14001.50,Cerrado,
319,4709,2025-07-17,-,Cerrado,
320,17508,2025-10-31,"8.640,45",Abierto,
321,15003,2025-10-22,4359.69,Abierto,
322,19178,2025-12-08,"10,770.63",Abierto,
323,17082,2025-05-11,"11,204.61",Nan,
324,4083,2025-03-18,10678.85,Cerrado,
325,25648,2025-11-14,"-12.908,94",Nan,
326,6507,2025-06-11,6243.40,Nan,
327,8526,2025-05-17,13905.74,Rechazado,
328,19746,2025-03-11,6693.43,Abierto,
329,23344,2025-01-08,10541.76,Abierto,
330,13177,2025-03-09,-,Nan,
331,16704,2025-08-12,nan,Nan,
332,20787,2025-05-17,11131.22,Abierto,
333,21160,2025-11-26,"6.116,37",Abierto,
334,12046,2025-04-03,2537.12,Abierto,
335,12406,2025-04-05,319.52,Cerrado,
336,23055,2025-12-29,nan,Nan,
337,15288,2025-02-20,"4.485,08",Nan,
338,13062,2025-08-16,-,Nan,
339,8768,2025-01-25,2863.49,Abierto,
340,4853,2025-11-16,"8.016,06",Abierto,
341,21940,2025-03-23,"11.851,07",Nan,
342,5070,2025-11-22,6723.23,Nan,
343,25543,2025-07-21,"4.564,30",Cerrado,
344,9611,2025-02-22,2147.03,Cerrado,
345,5702,2025-08-30,10398.23,Abierto,
346,16953,2026-02-03,"14,629.39",Cerrado,
347,18616,2025-07-13,nan,Cerrado,
348,3786,2026-02-09,"3.564,35",Nan,
349,18539,2025-11-27,"-4.684,76",Cerrado,
350,7943,2025-05-11,10787.07,Cerrado,
351,4779,2025-05-29,-,Cerrado,
352,5401,2025-11-09,"14.262,99",Rechazado,
353,21230,2025-10-14,nan,Abierto,
354,23874,2025-04-20,12544.63,Rechazado,
355,23407,2025-08-09,-,Cerrado,
356,21703,2025-08-01,"3.463,49",Abierto,
357,3742,2026-01-14,-,Nan,
358,5810,2025-11-18,"6,718.36",Nan,
359,12112,2025-10-26,2073.55,Abierto,
360,24056,2025-09-20,7083.76,Rechazado,
361,16268,2025-07-17,13927.17,Abierto,
362,18426,2025-04-19,nan,Abierto,
363,21311,2026-02-04,9959.61,Abierto,
364,16748,2025-08-24,"7.756,38",Nan,
365,18228,2025-11-17,13973.16,Cerrado,
366,5844,2025-02-02,11212.65,Cerrado,
367,942,2025-07-05,"1,374.60",Abierto,
368,14823,2025-11-10,1629.44,Abierto,
369,15818,2025-02-14,434.28,Abierto,
370,20114,2026-02-14,"5,559.03",Abierto,
371,20612,2025-02-12,5087.67,Cerrado,
372,941,2025-01-31,10846.29,Abierto,
373,16241,2026-02-16,"2,754.60",Cerrado,
374,24381,2025-07-27,nan,Abierto,
375,3784,2025-02-21,"6.278,59",Cerrado,
376,18210,2025-04-21,13180.58,Nan,
377,19938,2026-01-27,"-3,081.44",Abierto,
378,4586,2025-01-09,2051.08,Abierto,
379,19394,2025-04-11,"4,337.43",Cerrado,
380,19177,2025-11-20,nan,Nan,
381,18189,2026-01-31,nan,Cerrado,
382,13149,2026-02-13,5788.34,Nan,
383,3726,2026-02-08,-,Cerrado,
384,16998,2025-09-17,8268.60,Cerrado,
385,3696,2026-02-12,2099.51,Nan,
386,20394,2026-01-19,nan,Nan,
387,7121,2025-03-16,101.74,Nan,
388,8625,2025-10-30,4076.28,Nan,
389,21668,2026-01-31,11042.25,Abierto,
390,840,2026-02-23,10747.46,Abierto,
391,24690,2025-01-25,5736.62,Nan,
392,20920,2025-08-04,"1,035.65",Cerrado,
393,19824,2025-11-11,nan,Nan,
394,7220,2025-07-25,"6.657,59",Nan,
395,990,2025-06-11,924.16,Abierto,
396,986,2025-10-23,"8,896.66",Abierto,
397,22624,2025-06-14,"6,819.88",Cerrado,
398,10478,2025-08-24,"7,566.63",Abierto,
399,1386,2025-04-06,1160.69,Abierto,
400,6936,2025-08-02,"8.411,60",Nan,
401,12559,2025-01-26,nan,Rechazado,
402,22663,2025-04-29,"11.363,64",Nan,
403,9469,2026-01-30,"3.664,72",Cerrado,
404,4048,2025-12-14,nan,Nan,
405,17081,2025-08-02,"13.445,95",Abierto,
406,13593,2025-05-31,1225.41,Cerrado,
407,15499,2026-02-07,nan,Abierto,
408,15018,2026-02-19,13987.17,Nan,
409,4598,2025-08-10,14385.55,Abierto,
410,20008,2025-06-09,"908,44",Nan,
411,15930,2025-09-21,-,Abierto,
412,1661,2025-05-01,"12,937.82",Abierto,
413,15474,2025-01-14,"11,665.10",Cerrado,
414,1039,2025-11-28,6928.26,Nan,
415,10705,2025-10-03,"4.372,08",Nan,
416,1066,2025-11-06,2268.69,Rechazado,
417,24940,2025-06-20,"11,978.74",Abierto,
418,19027,2025-02-20,-,Abierto,
419,11189,2025-07-19,"6.286,41",Cerrado,
420,15208,2025-06-17,14567.87,Rechazado,
421,5615,2025-09-23,"9.744,90",Nan,
422,9973,2025-12-28,"5,901.69",Abierto,
423,11261,2025-03-24,-,Abierto,
424,11599,2025-06-21,"2.656,34",Cerrado,
425,6477,2025-10-23,11168.31,Abierto,
426,24821,2025-06-18,"9.786,35",Cerrado,
427,19205,2026-01-05,"8.961,50",Nan,
428,20511,2025-09-12,"1.741,82",Nan,
429,10083,2025-08-08,"4.186,36",Nan,
430,9420,2025-03-07,"14,797.54",Rechazado,
431,16556,2025-10-30,nan,Cerrado,
432,3991,2026-02-07,12934.03,Cerrado,
433,13660,2025-07-14,4257.18,Rechazado,
434,9923,2025-03-19,"10,300.58",Cerrado,
435,15659,2025-02-15,nan,Nan,
436,4058,2026-01-07,"13.142,69",Nan,
437,23431,2025-08-14,9923.03,Rechazado,
438,20439,2025-09-22,-,Cerrado,
439,23475,2025-01-03,nan,Nan,
440,16397,2025-10-16,"8.359,38",Rechazado,
441,22684,2025-12-03,10554.36,Rechazado,
442,25876,2025-03-10,"147,22",Rechazado,
443,11757,2025-06-27,7553.76,Nan,
444,23715,2025-02-19,"2.748,13",Nan,
445,7801,2025-01-27,-,Rechazado,
446,849,2025-07-07,966.15,Nan,
447,24783,2025-05-16,3775.66,Nan,
448,13756,2025-11-18,"8,492.99",Cerrado,
449,10005,2025-05-02,9876.19,Abierto,
450,18661,2025-05-11,"2,919.02",Rechazado,
451,3111,2025-03-30,12498.73,Cerrado,
452,1835,2025-04-14,6449.29,Nan,
453,14614,2025-12-10,"5.081,75",Nan,
454,18671,2025-05-17,14655.73,Nan,
455,11674,2025-05-22,-,Cerrado,
456,6812,2026-02-24,"10.457,09",Nan,
457,4234,2025-10-22,nan,Rechazado,
458,22894,2025-11-16,"13,379.41",Nan,
459,19084,2025-06-05,11662.90,Nan,
460,9557,2025-03-07,"11,367.71",Nan,
461,9517,2025-10-27,-,Nan,
462,1370,2025-02-25,2238.16,Rechazado,
463,1315,2025-05-23,"9.403,53",Cerrado,
464,7665,2025-08-23,"6,095.66",Abierto,
465,4729,2025-10-15,13763.87,Cerrado,
466,19556,2025-05-22,"929,56",Cerrado,
467,12477,2025-04-29,12448.85,Cerrado,
468,7145,2025-06-29,"9,748.24",Rechazado,
469,10808,2025-12-30,3705.92,Nan,
470,7885,2025-12-18,9856.68,Cerrado,
471,2155,2025-01-12,5220.04,Abierto,
472,4686,2025-11-19,7740.48,Abierto,
473,6110,2025-02-02,"14.439,69",Rechazado,
474,12213,2025-05-04,-,Nan,
475,13039,2025-10-13,-,Nan,
476,4147,2025-01-09,nan,Rechazado,
477,23464,2026-01-02,"4.561,33",Rechazado,
478,15010,2026-01-27,11687.78,Abierto,
479,4770,2025-07-06,nan,Cerrado,
480,23674,2025-06-27,"192,04",Nan,
481,5991,2025-08-25,nan,Rechazado,
482,18388,2025-11-03,"2.624,10",Cerrado,
483,1067,2025-07-27,"5.411,94",Nan,
484,10177,2025-09-21,9795.30,Rechazado,
485,23236,2025-08-13,"9,341.17",Nan,
486,16519,2025-10-01,"4,527.06",Cerrado,
487,21900,2025-11-02,"14.449,32",Abierto,
488,7922,2025-08-05,-,Abierto,
489,6169,2025-07-06,"10,359.49",Cerrado,
490,9596,2025-07-24,-6745.26,Nan,
491,10798,2025-04-13,11866.01,Cerrado,
492,5514,2025-07-05,13335.48,Cerrado,
493,12637,2025-01-24,"13.814,68",Nan,
494,4271,2025-09-12,"11.207,50",Cerrado,
495,3898,2025-10-29,"12.255,39",Nan,
496,9321,2025-08-23,"597,85",Abierto,
497,17866,2026-01-28,"5,018.42",Nan,
498,16934,2025-09-29,"6.665,81",Nan,
499,4303,2026-02-03,6686.39,Abierto,
500,24173,2025-07-03,"6.633,52",Rechazado,
501,1935,2025-03-01,9456.55,Abierto,
502,8758,2026-01-02,7272.53,Abierto,
503,13990,2025-07-15,"4.634,32",Cerrado,
504,12911,2026-02-07,"12,735.57",Abierto,
505,9535,2025-03-04,"13.921,33",Rechazado,
506,23610,2025-03-02,-,Nan,
507,14126,2026-01-26,7410.93,Nan,
508,11505,2025-04-17,"4,336.27",Nan,
509,9632,2026-01-24,11512.22,Nan,
510,24704,2025-05-08,nan,Abierto,
511,9290,2025-01-30,2170.06,Nan,
512,25808,2025-04-28,"1,956.20",Abierto,
513,19811,2025-09-01,nan,Abierto,
514,749,2026-01-26,-,Abierto,
515,7931,2025-04-19,7142.51,Abierto,
516,18551,2025-03-01,"3,577.31",Nan,
517,19123,2026-02-24,-,Rechazado,
518,5192,2025-03-14,-,Cerrado,
519,2775,2025-09-20,11906.59,Abierto,
520,17065,2026-01-19,"8.464,37",Abierto,
521,2027,2025-08-21,"2,008.92",Abierto,
522,8459,2025-09-24,5956.22,Abierto,
523,2414,2025-08-10,13565.60,Abierto,
524,3266,2025-04-19,nan,Abierto,
525,9683,2025-06-01,"4,540.67",Cerrado,
526,6685,2026-01-27,"965,71",Cerrado,
527,17205,2025-06-03,12224.81,Cerrado,
528,21844,2026-01-16,"1,897.70",Nan,
529,1551,2026-02-24,"12.584,02",Cerrado,
530,19258,2025-10-10,14448.22,Abierto,
531,16681,2025-10-21,nan,Cerrado,
532,13554,2025-02-17,"10.457,23",Rechazado,
533,1400,2026-02-17,778.90,Abierto,
534,13893,2025-01-07,"2,203.47",Abierto,
535,17558,2025-05-11,"775,73",Cerrado,
536,1687,2025-11-28,"8,216.35",Abierto,
537,10763,2025-01-29,"6,960.69",Cerrado,
538,16568,2026-02-21,"800,55",Cerrado,
539,15629,2025-02-04,"629,03",Abierto,
540,24874,2025-10-25,6239.30,Rechazado,
541,17082,2025-04-25,12640.91,Nan,
542,13402,2025-02-07,"6,580.87",Nan,
543,22193,2025-07-13,nan,Nan,
544,13123,2025-03-06,"8.419,73",Abierto,
545,14630,2025-01-07,965.14,Cerrado,
546,2269,2025-03-13,6320.76,Cerrado,
547,18971,2025-12-06,13821.43,Abierto,
548,320,2025-07-13,"6.636,52",Nan,
549,10771,2026-01-19,"-9,024.61",Abierto,
550,25667,2025-11-08,"3.598,00",Abierto,
551,21438,2025-05-07,"5,836.89",Abierto,
552,2165,2025-11-02,11024.33,Cerrado,
553,21888,2026-01-05,3112.17,Cerrado,
554,25784,2025-05-10,nan,Cerrado,
555,17858,2025-01-16,"13,960.18",Cerrado,
556,6947,2025-12-13,nan,Abierto,
557,6868,2025-06-30,"5.325,91",Cerrado,
558,21780,2025-10-05,"10.753,61",Cerrado,
559,24920,2026-01-02,nan,Nan,
560,3151,2025-02-28,"-1,744.20",Abierto,
561,8177,2025-05-11,3376.64,Cerrado,
562,15715,2026-01-28,"4.479,51",Cerrado,
563,18040,2025-08-03,"7.778,11",Rechazado,
564,21307,2025-12-06,11816.47,Rechazado,
565,19612,2025-01-24,-,Rechazado,
566,7229,2025-09-10,8102.59,Rechazado,
567,21236,2025-09-30,542.33,Nan,
568,7634,2025-01-20,-,Nan,
569,13976,2025-12-08,"11,416.44",Nan,
570,25508,2025-05-21,"9,919.76",Cerrado,
571,354,2025-02-12,"11.624,30",Rechazado,
572,8028,2026-02-06,"1,046.73",Cerrado,
573,5994,2026-01-25,"8.064,22",Cerrado,
574,21648,2025-06-23,-,Cerrado,
575,17032,2025-09-23,"6.006,23",Cerrado,
576,20005,2025-05-29,"3.660,61",Abierto,
577,9416,2025-07-16,7281.78,Abierto,
578,5441,2025-05-05,"6.542,30",Cerrado,
579,6238,2025-06-25,"-676,22",Rechazado,
580,21031,2025-08-22,"14.726,12",Abierto,
581,17730,2025-08-18,"6,180.21",Nan,
582,11973,2025-11-27,681.75,Abierto,
583,15892,2025-01-31,"9.323,33",Rechazado,
584,7265,2025-07-05,nan,Nan,
585,2185,2025-08-02,"14.347,09",Cerrado,
586,5064,2025-01-01,"3,427.67",Cerrado,
587,22918,2025-10-26,"2,427.43",Nan,
588,9780,2025-01-20,12340.44,Abierto,
589,23761,2025-02-04,"1,722.65",Cerrado,
590,1390,2025-11-22,"5,100.16",Cerrado,
591,24753,2025-12-29,"9.243,95",Abierto,
592,11961,2025-10-12,8976.92,Nan,
593,25605,2025-02-04,"6,324.53",Nan,
