id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
336,2025-11-26,1444,54,3,10,"550,34","49,47",20954.52
337,2025-07-24,3574,35,4,10,1304.27,"136,32",nan
338,2025-06-28,1141,75,3,2,1845.60,92.80,"319,554.79"
345,2025-08-11,1606,47,12,1,323.93,38.26,nan
356,2025-10-31,729,63,14,7,"1,517.29",-,"224,140.06"
360,2025-04-12,3666,59,7,9,"861,49",nan,"36.651,44"
372,2026-01-02,2269,59,8,7,nan,-,"84,920.53"
388,2025-12-01,1001,47,14,4,-,nan,"87.870,06"
406,2025-09-22,1393,7,15,3,1384.51,194.90,nan
414,2025-08-15,2278,72,11,12,867.96,132.06,147649.90
417,2025-10-07,60,35,8,1,620.81,90.95,nan
422,2025-08-07,181,4,8,5,1880.35,131.37,"131.698,52"
429,2026-01-04,1774,50,7,5,987.28,"127,17","119.643,51"
431,2025-03-27,21,56,2,11,1414.67,"173,10",38629.85
435,2025-12-31,365,31,6,6,"1.939,31",nan,"357.795,18"
438,2025-08-11,1972,73,12,10,-1778.57,nan,"295,736.23"
441,2026-01-10,539,50,3,6,"0,00",81.86,"99.567,79"
443,2025-10-17,2491,60,1,3,566.75,28.78,"105.991,94"
445,2025-04-26,1383,42,5,9,"1,857.17",-,"350,577.41"
459,2025-07-09,135,12,12,11,"1.350,74",320.20,nan
461,2025-08-09,1607,49,10,5,"1,391.27","131,33",260544.91
465,2025-09-25,1929,79,3,5,"1.945,13",332.26,nan
467,2025-10-24,781,35,8,7,nan,251.38,"162,310.51"
483,2025-10-18,1785,66,9,7,1906.65,"335,86","68.871,39"
487,2025-06-15,777,20,1,10,1838.94,325.90,250058.90
488,2025-03-29,2538,78,15,4,469.17,-,68548.42
498,2025-06-07,843,7,14,11,188.47,19.55,17873.98
511,2025-03-31,2545,36,10,11,nan,380.95,121142.67
514,2026-01-18,687,3,5,1,1046.69,81.80,95894.63
515,2025-03-15,2136,23,11,7,1808.77,450.96,326950.13
526,2026-02-08,284,65,10,8,"1,536.08",260.86,126568.35
549,2025-03-01,2373,37,2,3,1292.38,72.55,"114,912.08"
556,2025-09-23,2075,41,5,7,910.00,-,"56.167,62"
557,2025-02-23,863,14,10,9,"670,02",110.59,"73.438,18"
560,2026-01-08,2145,74,6,2,0.00,"369,91","304.333,91"
566,2025-02-18,2845,40,6,4,932.58,"189,41","78,318.01"
568,2025-06-13,1884,55,5,12,nan,-,"119,021.19"
574,2025-02-16,2920,23,15,12,"484,69",73.71,nan
577,2025-08-07,2064,75,12,7,"1.325,78",90.78,"61.776,90"
587,2025-04-24,2692,26,13,2,"1,024.25","67,72",nan
589,2025-03-22,1709,78,7,3,701.62,41.46,nan
596,2025-01-04,2287,14,9,1,"426,27",65.37,"24.692,57"
599,2025-04-28,2512,29,1,4,"1.914,82",387.89,"161,651.62"
602,2025-04-30,2497,50,2,1,1343.48,274.96,-
605,2025-10-03,1360,57,9,12,868.18,nan,"34,612.39"
606,2025-09-09,2303,80,11,9,"1.042,34",242.20,"51.730,17"
610,2026-01-19,1252,20,8,4,1498.15,152.40,188713.37
619,2025-06-16,960,23,5,3,1273.06,229.64,183943.29
628,2025-09-07,2464,32,1,12,77.70,nan,"6.080,30"
635,2025-04-26,95,61,3,5,"1.792,02","440,47",214083.88
637,2025-12-12,2618,61,9,9,738.10,"1,128.07",82512.43
638,2025-08-12,2820,21,3,4,"857,92","83,38",141656.39
642,2025-06-01,7,71,4,9,"538,13",623.94,"92,726.90"
646,2025-05-07,1510,65,13,10,"656,59",131.69,"19,747.59"
666,2025-04-10,1930,34,7,1,355.38,nan,"55,585.71"
670,2026-01-13,2044,120,7,5,"1.367,98",156.21,-
671,2025-01-26,2212,62,6,7,1493.07,319.17,283016.51
672,2025-10-15,2629,72,15,11,1656.21,243.95,"179,745.23"
675,2025-01-05,1309,1,5,8,304.60,40.62,"40,321.87"
679,2025-04-24,2080,36,9,8,916.53,"116,12","152.755,89"
683,2025-10-20,1622,21,9,3,nan,109.08,"136,490.30"
684,2025-08-27,1741,32,1,10,1867.34,nan,nan
687,2025-02-04,1880,57,6,4,nan,259.22,-
689,2025-01-18,1858,4,6,2,"1,605.13",nan,150198.88
691,2025-09-03,989,1,14,7,"1,392.56",227.37,nan
693,2025-02-21,13,41,12,11,-,-,246608.56
698,2025-11-29,1427,65,1,11,489.27,88.60,28382.47
700,2026-01-30,167,5,5,6,0.00,107.12,"68,413.82"
701,2025-06-11,428,39,1,11,nan,84.26,115735.43
706,2025-05-26,1414,65,12,11,329.70,76.02,31168.43
720,2025-08-07,2627,13,13,4,707.83,170.65,30130.25
726,2026-01-30,1507,38,4,11,216.37,"34,06",34994.41
728,2026-01-18,1904,5,10,10,nan,"13,65","15,552.96"
733,2025-04-26,1495,77,6,2,970.09,132.36,82527.50
740,2025-12-07,2140,12,8,3,107.75,"10,65","8.320,69"
752,2026-01-12,2688,7,7,9,"1,608.17",109.04,"67,692.48"
755,2025-12-13,1268,20,1,10,"542,63",30.90,"68.862,65"
764,2025-07-02,1319,65,9,3,"1,715.41",nan,204680.23
773,2025-02-13,1516,42,7,8,"1,605.25",170.35,195063.20
775,2025-06-08,2127,33,1,1,76.43,"17,42",nan
781,2025-11-20,521,35,12,11,1377.36,"280,27","258.994,33"
783,2026-02-14,2061,64,9,1,1305.84,189.76,83446.95
785,2025-08-10,1742,52,13,1,"1,399.54",92.82,58344.65
801,2025-07-25,649,46,1,6,737.38,60.16,"73,614.54"
803,2025-09-17,1998,62,5,8,1587.48,"2.167,83","207,934.12"
819,2025-03-04,1881,11,6,1,107.13,15.95,2410.69
834,2026-02-15,1793,71,9,8,"1.361,35",334.97,nan
836,2025-10-25,2473,28,4,3,972.00,nan,44879.05
843,2026-01-13,657,60,6,8,1480.70,-,"283,443.68"
845,2025-02-23,14,73,9,11,1269.39,265.58,-
851,2025-12-26,867,57,9,3,nan,329.94,"148.250,67"
857,2025-02-23,933,67,3,8,-,341.26,"174,243.88"
860,2025-07-19,2608,5,10,7,"197,16","33,71","5.230,01"
879,2025-02-25,2781,76,9,11,487.84,73.85,41572.74
882,2025-07-14,1478,7,3,2,1615.12,339.75,260779.28
893,2025-06-14,835,38,3,9,1213.00,291.35,"179.137,64"
895,2025-12-15,1923,57,10,7,1365.73,"96,67",nan
896,2025-02-05,610,20,10,9,477.03,"72,81","74,022.02"
900,2025-08-04,1336,8,10,5,1356.71,113.33,225001.50
906,2025-04-12,343,47,2,12,"1.583,43",353.06,57993.95
911,2025-05-05,481,60,6,3,"1.640,83",131.15,nan
912,2025-06-16,1791,22,9,1,0.00,"228,91",nan
922,2025-12-18,2381,50,10,5,-,17.92,9698.68
937,2025-07-18,3692,21,1,2,-,208.41,190013.26
955,2025-04-03,1676,30,3,12,977.94,"81,64",66113.44
961,2025-05-18,916,71,4,1,nan,"46,69",25151.14
966,2025-12-04,2375,24,6,12,"1.032,51",103.06,193961.45
968,2025-05-08,2408,12,7,8,"1,097.20",92.96,nan
973,2026-02-13,1852,59,7,1,nan,348.13,"76.610,96"
979,2025-07-12,1306,105,14,2,79.60,nan,13816.88
987,2025-11-04,2649,38,5,4,-,121.04,93379.15
997,2025-12-21,1248,51,14,4,229.38,56.54,36697.87
998,2025-04-30,928,72,7,4,1592.68,"117,66",34820.96
1003,2025-02-17,2670,23,8,8,"1.637,64",320.40,280930.95
1008,2025-04-03,1405,56,3,9,"-1.353,29",182.11,"209.259,39"
1014,2025-09-16,1236,78,8,6,"799,90",95.20,149053.60
1015,2025-01-16,2369,45,2,9,"1.033,94",124.79,"103,482.49"
1016,2026-01-07,2088,32,10,8,"1.060,94",55.62,184294.87
1017,2025-08-19,1198,44,14,7,356.86,"444,80",nan
1028,2026-01-29,2004,78,2,1,1645.76,"332,76","245,058.91"
1030,2025-07-21,1920,45,6,5,921.01,"83,32",135943.27
1032,2026-02-05,1058,71,15,11,1978.63,"104,08","356.202,51"
1038,2025-11-26,400,80,10,7,1470.37,259.13,88295.75
1043,2025-03-13,1601,68,4,12,nan,nan,"82.202,05"
1044,2025-05-16,2156,20,7,3,904.25,209.02,54421.46
1052,2025-11-05,19,76,2,11,-,"1,364.41","113,911.76"
1058,2025-03-27,2845,77,5,3,-,nan,"107.014,10"
1065,2025-12-03,2527,17,6,6,1989.19,459.36,311684.97
1068,2025-09-06,1184,59,7,4,1907.66,460.53,362277.16
1072,2025-04-25,185,7,1,3,"719,64",nan,"97.434,50"
1091,2025-06-05,1032,59,15,6,101.14,14.26,"7.750,81"
1099,2025-08-29,2966,21,7,2,1005.27,237.75,161375.41
1102,2025-06-03,305,22,5,6,"1,852.66",-,"366,312.75"
1106,2025-10-14,1726,9,9,7,1225.86,"135,70",nan
1122,2025-08-12,2946,5,12,10,-,149.31,68340.14
1123,2025-10-30,403,35,13,1,100.19,16.93,-
1156,2025-01-31,1585,9,5,7,107.49,"15,96",7081.97
1161,2025-06-19,1053,34,8,7,748.20,168.54,nan
1162,2025-08-17,256,35,14,4,"1,047.31","121,73","157.185,50"
1171,2025-04-03,272,72,2,10,699.83,97.22,"112,528.33"
1178,2025-10-05,3761,8,10,10,"1,488.83",-,65791.73
1181,2025-01-01,1466,64,5,4,412.24,nan,16238.21
1184,2025-01-10,2557,50,5,4,1236.51,151.82,212721.14
1187,2025-06-20,2616,58,13,11,nan,205.89,65864.39
1195,2026-01-20,2882,5,10,7,"1.511,44",nan,67099.49
1197,2025-04-24,2247,25,7,9,649.49,"70,59","48,913.59"
1205,2025-08-07,218,40,10,8,829.03,"196,49",87169.07
1214,2025-10-03,2147,10,7,2,"1.075,86","212,98","160,338.16"
1217,2025-01-11,292,63,4,2,"1.563,64",160.18,73871.74
1234,2025-09-06,2479,10,13,2,200.03,29.66,nan
1255,2026-02-15,1681,70,10,3,1394.21,110.73,nan
1263,2025-02-15,1057,17,6,11,nan,262.93,137484.22
1264,2025-04-18,609,80,10,7,998.07,nan,167810.75
1276,2026-02-10,218,72,3,5,223.93,13.04,"21.497,96"
1278,2025-10-08,2948,20,14,2,1269.83,1782.44,nan
1282,2025-11-07,182,77,11,1,1327.05,231.46,113779.99
1290,2025-10-15,726,80,6,7,"1.876,63","243,12",59128.32
1306,2025-11-03,118,56,15,1,"1.709,29","2.731,70",-
1317,2025-05-03,1110,33,15,10,"785,10",-,nan
1320,2026-02-13,1198,41,3,6,nan,71.09,"48.791,33"
1340,2026-01-20,1374,22,13,3,623.78,nan,90183.07
1343,2025-01-03,383,45,1,11,nan,"138,69",-
1347,2026-02-03,2439,34,6,2,-,62.54,33350.95
1350,2025-05-28,291,8,4,7,nan,157.91,22816.56
1351,2025-02-16,1869,10,14,4,1775.07,nan,338913.02
1369,2025-11-06,2599,20,11,1,1947.73,"2.417,69",333898.58
1373,2025-09-07,923,18,13,1,"1,370.80",160.63,"167,038.57"
1377,2025-05-30,2002,44,3,9,nan,279.02,"319.646,20"
1382,2025-03-04,2010,31,11,4,"761,44","67,94","34,700.69"
1383,2025-10-11,2030,71,8,2,942.34,60.02,"73.746,03"
1395,2025-01-04,22,9,9,11,"1,388.48",71.57,156142.96
1410,2025-09-13,2934,80,8,9,1120.76,277.51,92953.74
1416,2025-07-26,280,36,12,4,-,"146,34","302,927.86"
1442,2026-01-23,1327,31,4,1,70.43,10.52,nan
1444,2025-01-04,224,4,7,10,"1,724.41",398.29,"246.822,17"
1445,2025-05-12,1306,46,7,6,-,"35,07",15142.25
1448,2025-10-23,2463,30,14,9,333.27,35.02,-
1449,2025-05-01,31,24,9,5,160.00,12.62,17670.80
1454,2025-09-06,2203,74,4,8,1167.22,284.19,"145.966,40"
1463,2025-08-06,1776,47,10,10,1784.43,309.88,"50,319.13"
1480,2025-03-22,1914,33,15,1,1416.28,96.23,195234.95
1482,2025-03-27,776,67,5,4,nan,107.16,"138.651,92"
1483,2025-02-02,2626,62,5,8,-,"114,79",89558.77
1497,2025-04-15,831,22,15,8,"116,81",-,"19.470,94"
1500,2025-10-07,2369,43,9,7,"1.239,16","212,62","245,302.03"
1510,2025-09-15,929,79,5,9,nan,285.27,"73.286,98"
1528,2025-01-11,2563,44,1,8,"1,518.43",-,292610.75
1537,2025-12-09,3821,6,6,2,74.62,15.94,"11,459.21"
1561,2025-10-15,3817,14,8,8,-,nan,48916.10
1569,2025-08-18,2326,31,5,7,1099.41,82.99,"151.116,55"
1580,2025-06-11,2091,35,13,6,nan,"127,84",-
1587,2026-01-02,1781,62,4,1,1506.63,nan,"176,051.43"
1588,2025-05-19,844,12,15,3,"1,376.68",310.93,64519.62
1604,2025-11-03,354,16,9,7,367.22,"72,10",40366.29
1606,2026-01-31,1387,59,6,2,"1.896,52","175,23","211.678,11"
1620,2025-03-17,1092,37,4,11,nan,"123,93",-
1624,2025-10-03,1738,48,14,10,927.34,169.45,71920.47
1628,2025-06-20,2048,51,10,4,157.56,24.35,"9,256.94"
1629,2025-04-07,2806,11,6,12,"599,97",-,43706.84
1641,2026-02-14,1602,17,6,10,"1,993.65","153,15",-
1642,2025-02-25,574,66,13,12,"1,824.72","168,57","326.778,47"
1654,2026-01-28,591,26,11,6,1373.54,203.59,"47.744,18"
1657,2026-01-31,3761,14,8,2,"1.584,59",nan,140017.68
1664,2025-01-29,1538,15,2,6,"642,60",-,128326.78
1670,2025-10-29,690,50,13,7,611.72,123.84,"104.283,13"
1674,2025-11-03,1902,6,11,4,nan,16.60,-
1680,2025-07-27,1422,72,2,2,1996.04,nan,311938.91
1684,2025-02-18,2231,48,4,4,270.73,"17,73","25,082.98"
1685,2025-12-18,437,66,5,9,1870.58,"410,98","117.463,94"
1686,2025-09-24,1913,9,7,7,428.51,73.83,64001.48
1691,2025-02-16,1649,50,5,4,1976.69,360.58,108066.89
1698,2025-03-16,670,28,11,12,"569,81",59.38,-
1713,2025-03-25,413,51,13,12,"1.487,63","344,03",238195.71
1714,2025-06-30,2142,27,12,7,-,12.67,30564.27
1717,2025-12-28,571,120,1,11,"1,778.76",nan,147489.30
1721,2025-12-20,966,30,1,10,"1,398.59",nan,"105,979.44"
1729,2025-11-07,2564,17,15,1,993.39,188.55,nan
1736,2025-10-05,2742,22,11,3,-,112.96,20071.81
1748,2025-05-18,843,14,14,4,nan,-,42934.58
1749,2025-12-26,1495,73,14,10,951.81,-,49431.88
1750,2025-04-18,2368,13,11,1,868.12,48.83,nan
1761,2025-07-20,2286,50,8,10,"-1,552.88",309.24,66184.00
1762,2025-07-12,350,72,3,6,1954.59,nan,"354,944.73"
1764,2025-12-30,1330,14,10,4,424.39,nan,69369.92
1769,2026-01-21,2800,45,11,10,nan,321.45,"50,756.11"
1775,2025-06-17,2921,52,1,12,310.84,67.60,19315.00
1782,2025-03-18,1937,59,1,2,1864.27,"221,58","354,074.10"
1788,2026-02-03,1696,45,1,3,1734.03,"297,88","126,757.40"
1792,2025-07-13,709,14,14,8,609.10,108.23,-
1793,2025-10-23,2293,24,15,4,"1.238,61",nan,"219,274.04"
1794,2025-07-04,1501,46,11,11,"1.967,46",125.14,"62.858,57"
1800,2025-07-14,1029,67,11,8,"326,35",32.00,51097.71
1803,2025-05-01,2786,18,15,4,1720.84,nan,"311.885,30"
1805,2026-01-26,178,75,9,1,1644.36,275.42,nan
1810,2025-04-15,894,60,4,11,"630,22",nan,65686.43
1815,2025-09-17,876,15,6,7,378.93,85.12,nan
1820,2025-06-29,82,41,5,5,nan,66.39,"89.488,22"
1832,2025-12-23,662,77,7,8,1019.78,151.25,78262.43
1833,2025-08-03,1639,30,4,5,410.30,62.54,10767.82
1840,2025-04-13,538,1,8,2,1087.20,266.51,-
1843,2026-02-15,2054,73,11,4,1317.01,73.74,53666.70
1844,2025-06-09,2646,75,15,3,-,31.38,"85,660.11"
1845,2025-07-24,934,13,11,6,"152,54",9.80,nan
1846,2025-04-20,1320,36,11,1,nan,212.74,-
1848,2025-03-16,1900,19,4,6,321.51,33.46,"62.202,18"
1850,2025-07-12,2349,79,5,9,"527,38",nan,59201.58
1861,2025-07-23,2865,79,10,5,-,"107,49",-
1868,2026-02-11,2906,70,11,2,163.19,11.21,31636.45
1871,2026-01-24,1159,62,4,1,"1.784,93","385,11",215267.86
1873,2025-06-19,97,56,3,8,654.91,43.58,nan
1874,2025-01-19,1081,13,7,2,nan,"77,82","46.255,10"
1883,2025-06-25,157,6,3,3,"1.143,24",275.09,"77,884.13"
1884,2025-06-27,333,72,15,11,"124,17",26.92,20466.14
1888,2025-04-27,83,7,9,2,1592.37,nan,"95,501.87"
1891,2025-04-26,588,63,2,5,792.65,94.91,57831.15
1893,2025-07-14,1445,44,9,6,"1.253,32","128,42",-
1894,2025-01-13,1335,12,5,4,"1.335,82","206,24",68993.54
1900,2025-02-27,741,13,5,7,525.73,78.76,"71,917.40"
1909,2025-04-19,1225,39,13,7,"1,070.48",nan,21793.61
1912,2025-01-05,2668,72,5,2,"1,433.21",344.96,88369.28
1915,2025-08-31,2863,47,9,7,826.09,205.34,nan
1925,2025-10-10,2319,17,4,8,189.35,19.23,-
1926,2025-08-28,2109,41,9,1,419.30,"29,39",57025.51
1928,2025-09-21,14,4,5,2,"549,57","132,34",30152.71
1929,2026-02-06,33,34,13,3,1889.05,402.01,"354,610.20"
1931,2025-12-26,1298,11,12,11,538.11,nan,"51.419,76"
1935,2025-01-09,2033,22,10,5,428.02,56.51,-
1942,2025-01-25,1415,17,2,10,-1076.43,"186,76","57,824.40"
1943,2025-01-11,667,75,4,4,"445,54",56.80,"81,602.05"
1945,2025-03-30,1992,36,3,3,"239,51",44.15,"9,622.16"
1946,2025-12-13,1224,53,12,2,85.68,16.13,7710.95
1950,2025-11-09,2055,26,7,4,-,nan,nan
1959,2025-03-28,1978,66,5,12,190.64,41.81,26704.85
1966,2025-01-25,1391,6,1,5,nan,nan,nan
1968,2025-07-30,2224,50,7,11,nan,"135,16",192537.19
1974,2025-06-06,1620,48,13,3,256.11,nan,"22.265,97"
1977,2025-07-26,884,77,15,2,818.87,144.40,"107.688,27"
1978,2025-10-26,1674,38,14,8,nan,"54,77",9065.32
1985,2025-06-06,2629,15,5,5,314.28,19.25,35000.73
1991,2025-07-17,366,77,7,3,220.74,18.55,43252.05
2000,2025-08-09,1491,73,13,6,1181.87,"133,77",29112.33
2002,2025-02-17,1583,61,3,8,154.29,12.19,11208.34
2010,2025-12-15,552,44,5,8,"1,735.07","424,50","137,950.79"
2022,2025-10-25,443,32,14,12,1857.25,"373,58",368693.78
2047,2025-10-05,2004,61,4,12,1935.32,-,47796.85
2058,2026-01-12,719,63,5,11,339.69,83.67,44824.50
2060,2026-02-20,520,58,15,10,nan,929.20,"88,728.15"
2062,2025-07-16,1069,62,5,10,895.39,"1.579,71",nan
2064,2025-05-07,2690,75,6,12,371.84,42.59,25141.34
2070,2026-01-07,921,67,12,1,nan,nan,-
2071,2026-02-11,2424,55,6,12,1173.50,"77,39",44741.52
2084,2025-09-01,160,9,6,11,377.98,75.16,54240.77
2108,2025-02-06,1176,35,14,12,1432.05,106.29,178029.64
2111,2025-12-29,2730,49,7,12,"807,04","174,02",32303.05
2113,2025-08-06,253,4,8,5,"1.055,65",247.32,182688.17
2117,2025-06-07,2005,3,2,11,"204,93",13.67,11360.18
2132,2025-05-03,1018,47,11,11,"509,62","28,40",68155.35
2136,2025-03-22,1893,35,15,7,-163.00,16.17,"11,889.33"
2146,2025-02-11,2538,48,8,10,"1.348,48",nan,164157.44
2151,2025-07-25,1449,68,11,3,-,-,6761.22
2153,2025-07-01,1177,69,9,2,1458.35,283.24,158384.30
2154,2025-08-30,1849,32,2,2,68.24,5.73,"11.601,17"
2161,2025-02-06,2554,10,11,12,"497,42",97.87,"92.425,00"
2165,2025-08-13,577,36,3,1,980.87,95.14,189390.39
2171,2025-05-25,14,36,15,7,787.02,43.71,24744.99
2182,2025-12-03,2720,65,11,2,"1,113.92","114,95",-
2184,2025-08-03,1071,35,3,4,"1,329.37",315.07,153324.29
2190,2025-04-01,684,28,14,11,"0,00",155.02,-
2196,2025-03-19,1562,27,15,3,nan,30.41,"45,606.48"
2199,2025-09-27,695,69,9,3,960.43,nan,"65.902,01"
2211,2025-09-09,3570,68,11,6,-,72.36,"86.721,04"
2215,2025-01-29,1145,16,10,4,844.72,42.54,"131,419.39"
2217,2026-01-02,2213,41,15,9,1793.35,191.21,96108.85
2221,2025-02-26,6,39,11,9,nan,227.42,99450.56
2231,2026-01-18,1053,32,13,10,"1,552.55",370.47,nan
2232,2025-05-24,1312,47,5,10,"219,38","44,07","12,710.05"
2240,2025-08-24,2338,50,10,4,"1,250.81",nan,88214.75
2243,2025-11-09,2954,70,11,11,"157,99",29.32,6262.35
2244,2025-06-06,1758,4,4,7,"1,759.11",159.27,88677.10
2252,2026-02-14,15,51,4,6,603.99,-,74420.02
2255,2025-06-25,1793,26,11,1,"1,924.99","323,96","246.553,71"
2259,2025-06-15,1997,40,10,3,-1649.25,154.77,"191,749.44"
2268,2025-03-30,400,7,10,5,-,80.21,41775.86
2269,2025-03-03,2135,55,14,1,nan,101.72,271561.89
2270,2026-01-26,1736,2,1,12,nan,78.98,"68,351.82"
2273,2025-10-13,1836,34,6,10,387.16,-,"47.680,82"
2277,2025-02-12,1467,36,8,10,1177.05,nan,"211,501.81"
2279,2025-01-11,1133,58,12,4,347.06,51.42,66930.23
2294,2025-01-05,201,3,5,8,1428.44,91.41,"175,455.19"
2297,2025-11-16,528,52,7,10,366.62,35.48,"16,176.98"
2305,2025-03-25,652,49,15,10,663.22,42.86,"90.767,58"
2312,2025-04-20,1000,76,9,3,nan,nan,-
2315,2025-11-30,1754,63,3,10,"1,946.72",nan,"312,339.96"
2325,2025-08-31,2516,80,12,1,740.23,150.27,nan
2326,2025-07-02,2995,54,4,11,785.42,171.41,nan
2330,2025-06-03,1253,31,13,10,nan,74.16,nan
2337,2025-08-14,939,5,10,1,690.86,"65,54",118345.74
2341,2025-12-14,1895,14,12,9,894.88,nan,-
2343,2025-11-13,241,76,12,4,"1,400.27",184.79,209277.57
2345,2025-05-17,239,71,4,5,nan,195.22,nan
2346,2025-08-20,444,63,6,7,786.92,146.68,60136.83
2350,2025-08-22,479,2,7,9,556.79,74.96,"97,943.93"
2368,2025-12-16,1115,10,14,8,476.98,"83,30","78,664.25"
2369,2025-05-24,449,22,10,7,"1,963.29",nan,"252.183,08"
2381,2026-01-19,1579,38,14,12,1561.68,nan,291076.59
2384,2026-01-12,1116,21,9,3,-,69.03,nan
2385,2025-02-05,518,13,1,2,1935.37,389.80,"40.688,16"
2394,2025-11-12,2198,66,15,10,1772.74,336.14,216414.91
2398,2025-05-31,1853,72,3,1,143.24,12.65,19956.82
2408,2025-10-21,771,36,5,10,"1,433.76",91.05,"196,648.66"
2409,2025-03-13,1329,44,15,6,nan,101.90,147089.39
2423,2025-06-10,943,75,6,5,526.77,nan,-
2435,2025-08-27,2818,11,1,10,229.86,14.15,-
2449,2025-07-17,319,26,7,9,"412,01",92.98,80772.99
2452,2025-04-06,146,39,1,7,1690.41,-,289283.89
2456,2025-02-25,1757,61,4,5,"1.929,10",336.06,"231.004,25"
2460,2025-12-29,1601,9,1,10,-,287.80,169847.05
2468,2025-07-12,1253,6,12,1,854.60,"203,70",33393.55
2478,2025-12-20,1827,12,11,5,176.01,nan,"32.584,96"
2496,2025-09-11,162,61,4,10,1259.17,154.61,"77.904,10"
2510,2025-01-01,227,57,5,10,1115.67,1426.98,nan
2511,2025-07-29,1682,43,9,11,200.67,44.08,"26.485,37"
2512,2026-02-01,1759,74,6,5,-,"129,73",216031.53
2529,2025-09-30,2761,31,2,7,"1.022,59",169.93,nan
2541,2025-07-11,1435,18,5,9,nan,"117,30",23780.03
2545,2025-03-19,2922,34,13,7,nan,115.38,198148.13
2547,2025-02-04,2699,67,14,10,-,-,111316.39
2551,2025-07-08,1533,61,8,11,nan,-,292184.95
2552,2025-05-20,904,41,15,12,"1.516,66","150,47",179053.33
2561,2025-11-12,1697,18,4,4,-,35.54,"55,074.44"
2562,2025-04-11,861,58,11,9,-,"183,52",-
2566,2025-01-05,816,59,7,1,1836.96,309.39,230589.20
2580,2025-10-19,927,21,7,10,630.34,114.89,"47.371,88"
2587,2026-01-27,1603,30,13,5,1792.60,"441,74","320.215,67"
2605,2025-05-14,1689,38,13,3,139.94,7.35,"14.033,01"
2618,2025-10-03,1716,10,1,2,67.34,6.06,"2.599,13"
2620,2025-05-25,1594,80,1,12,"751,43",124.64,-
2623,2026-01-14,2819,77,11,7,901.12,"70,84",nan
2635,2025-05-02,429,31,5,7,659.00,153.47,"84,782.07"
2641,2025-07-30,1664,65,1,8,487.20,"59,29","82,246.90"
2644,2025-05-15,321,48,14,8,1475.75,-,"161.243,88"
