id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
28,,1213,65,8,9,464.73,"25,26",18041.73,fecha_emicion_vacio
29,,1101,7,8,12,nan,54.06,nan,fecha_emicion_vacio
30,,2493,14,12,4,816.71,199.22,"106,724.98",fecha_emicion_vacio
31,2025-08-07,1847,45,4,2,nan,"229,13","117.309,88",
32,2025-07-28,388,22,6,4,822.52,-,nan,
33,,1034,67,2,8,73.63,13.25,"6,844.04",fecha_emicion_vacio
34,,1969,41,10,5,-,256.53,202107.44,fecha_emicion_vacio
35,,1139,79,1,3,"1,847.73",191.44,nan,fecha_emicion_vacio
36,,2313,53,12,6,779.35,64.18,"95.204,18",fecha_emicion_vacio
37,,2846,75,10,3,800.22,104.70,66127.82,fecha_emicion_vacio
38,,2327,39,13,7,nan,"113,68","156,124.02",fecha_emicion_vacio
39,,629,62,11,7,nan,206.36,75584.63,fecha_emicion_vacio
40,,25,47,6,9,1300.11,189.22,-,fecha_emicion_vacio
41,,3651,48,13,5,"816,63",106.27,136809.90,fecha_emicion_vacio
42,,2455,31,5,11,"308,02","58,25","60,616.48",fecha_emicion_vacio
43,,2657,8,6,1,-1261.22,"106,86",248818.74,fecha_emicion_vacio
44,,1701,10,14,10,946.36,153.66,153121.65,fecha_emicion_vacio
45,2025-12-11,2278,66,3,11,1539.37,240.41,"114,732.26",
46,,2761,28,2,1,"564,21","57,82",23965.61,fecha_emicion_vacio
47,,2482,18,3,2,"1.555,60",242.77,69252.65,fecha_emicion_vacio
48,2025-07-16,259,29,14,1,nan,46.88,55688.51,
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14,
50,2025-02-22,717,49,15,10,518.78,"86,45","66.871,99",
51,,2801,67,5,4,"1.612,80",321.59,"156,855.81",fecha_emicion_vacio
52,,1746,33,1,10,1429.69,78.50,173202.87,fecha_emicion_vacio
53,,1962,79,1,3,0.00,305.78,265915.68,fecha_emicion_vacio
54,,2969,3,4,3,421.01,63.89,13911.37,fecha_emicion_vacio
55,,2340,26,10,6,1954.65,431.08,150219.71,fecha_emicion_vacio
56,,2767,28,7,8,"73,11",nan,"7,064.28",fecha_emicion_vacio
57,,852,4,13,1,nan,nan,"213,051.32",fecha_emicion_vacio
58,,454,6,15,8,nan,213.26,"78,055.76",fecha_emicion_vacio
59,,1934,18,1,2,1253.51,-,149260.92,fecha_emicion_vacio
60,,3686,51,6,2,nan,nan,"28,102.81",fecha_emicion_vacio
61,,1759,23,4,12,142.93,13.14,"3.134,79",fecha_emicion_vacio
62,,584,36,4,8,695.24,63.23,"28,262.23",fecha_emicion_vacio
63,,3691,55,10,7,-1680.49,242.41,238110.36,fecha_emicion_vacio
64,,1081,75,8,1,"109,72",17.48,nan,fecha_emicion_vacio
65,,697,67,1,10,302.71,462.20,"25,597.06",fecha_emicion_vacio
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12,
67,,1246,31,6,5,nan,359.79,258570.08,fecha_emicion_vacio
68,,475,43,13,3,"1,643.29",187.12,235726.94,fecha_emicion_vacio
69,,2178,76,1,4,nan,20.56,"7.505,94",fecha_emicion_vacio
70,,730,78,15,4,nan,146.22,"147.931,73",fecha_emicion_vacio
71,,3656,77,10,2,258.60,"22,67","26.081,96",fecha_emicion_vacio
72,,2797,14,2,7,"51,10",8.38,"9,228.48",fecha_emicion_vacio
73,2025-03-01,841,26,7,12,-,-,"33,023.90",
74,2025-01-04,2814,64,5,7,"1,809.88",358.53,279782.46,
75,,1345,51,15,1,nan,-,nan,fecha_emicion_vacio
76,,2671,14,9,5,"1,563.09",381.13,nan,fecha_emicion_vacio
77,,2386,79,14,12,1324.27,144.93,92440.33,fecha_emicion_vacio
78,,698,55,3,7,1298.49,"305,47","92,537.75",fecha_emicion_vacio
79,,2375,66,4,10,"1.055,66",nan,142122.95,fecha_emicion_vacio
80,,914,64,6,7,"1,348.69",282.52,44463.35,fecha_emicion_vacio
81,,2745,13,13,11,1688.38,-,"151,662.62",fecha_emicion_vacio
82,2025-07-18,2392,21,3,4,"0,00",83.63,"33,866.99",
83,,357,18,15,11,"1,612.27","182,21",-,fecha_emicion_vacio
84,,772,18,3,4,"572,28",84.39,41526.61,fecha_emicion_vacio
85,,151,6,7,2,967.01,62.59,92114.86,fecha_emicion_vacio
86,,3714,32,15,11,1214.28,293.02,"56,519.26",fecha_emicion_vacio
87,,2217,98,11,12,"1.283,02",nan,94028.85,fecha_emicion_vacio
88,,1671,28,12,6,885.97,132.85,"95,429.55",fecha_emicion_vacio
89,,2963,77,1,5,1372.83,nan,"34,680.04",fecha_emicion_vacio
90,,753,20,1,10,916.04,219.65,129872.69,fecha_emicion_vacio
91,,2778,14,3,1,158.84,26.50,9146.22,fecha_emicion_vacio
92,,2659,25,11,4,nan,325.08,191582.82,fecha_emicion_vacio
93,,919,4,8,2,"361,25",84.51,9964.10,fecha_emicion_vacio
94,,222,41,5,10,"1,141.34",169.15,-,fecha_emicion_vacio
95,,106,11,3,7,1953.28,313.86,356037.27,fecha_emicion_vacio
96,,1708,3,11,7,1777.93,nan,"176.358,08",fecha_emicion_vacio
97,,2027,71,15,9,558.70,77.27,"92,679.07",fecha_emicion_vacio
98,,2106,65,10,8,1909.32,153.95,143459.97,fecha_emicion_vacio
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67,
100,,2627,52,7,5,"1.998,94",487.51,-,fecha_emicion_vacio
101,,976,48,11,11,nan,125.52,93713.30,fecha_emicion_vacio
102,,5,66,13,12,1386.05,"204,00",251864.93,fecha_emicion_vacio
103,,927,29,7,9,1179.01,231.56,150298.39,fecha_emicion_vacio
104,2025-10-20,3524,7,11,8,149.44,10.64,"17,925.05",
105,,2797,80,3,1,"209,72",52.00,nan,fecha_emicion_vacio
106,,2438,58,12,5,546.09,"110,32",44986.21,fecha_emicion_vacio
107,,1165,15,6,12,nan,50.04,87472.59,fecha_emicion_vacio
108,,1620,74,13,11,1235.45,155.50,"50.330,02",fecha_emicion_vacio
109,,2693,6,13,6,nan,184.48,"96.331,45",fecha_emicion_vacio
110,,185,46,8,5,nan,31.43,74435.27,fecha_emicion_vacio
111,,2833,8,15,12,nan,222.80,185637.48,fecha_emicion_vacio
112,,1463,74,7,2,1025.16,94.24,"171,583.25",fecha_emicion_vacio
113,2025-12-03,1715,34,3,6,nan,nan,nan,
114,,1155,61,11,5,1237.26,nan,124263.17,fecha_emicion_vacio
115,,739,11,5,7,203.12,17.60,-,fecha_emicion_vacio
116,,2659,80,8,10,"1,986.64","307,82",376125.57,fecha_emicion_vacio
117,,2501,18,12,10,nan,"2.636,59",188099.37,fecha_emicion_vacio
118,,2114,78,1,2,348.72,36.88,68328.79,fecha_emicion_vacio
119,,1678,71,13,7,nan,nan,"58.628,84",fecha_emicion_vacio
120,,419,49,1,3,1427.78,nan,"265,973.38",fecha_emicion_vacio
121,,1222,59,14,6,nan,nan,141963.43,fecha_emicion_vacio
122,2025-08-02,318,41,12,5,726.10,161.45,-,
123,2025-09-25,721,44,3,2,"1.879,38",437.85,-,
124,,2155,40,3,9,"1,027.93",83.53,-,fecha_emicion_vacio
125,,1886,12,13,12,"1,521.54",127.08,234686.27,fecha_emicion_vacio
126,,1595,18,7,9,nan,291.84,nan,fecha_emicion_vacio
127,,1793,11,12,1,843.06,154.42,"51.393,00",fecha_emicion_vacio
128,,711,25,11,3,nan,379.89,175091.88,fecha_emicion_vacio
129,,1894,29,12,11,1354.93,102.04,"161.419,79",fecha_emicion_vacio
130,,1384,38,15,7,"1.066,35",208.25,155755.80,fecha_emicion_vacio
131,,1953,72,9,2,751.39,nan,"101.267,63",fecha_emicion_vacio
132,2025-05-23,2110,34,12,11,"890,91","177,49",nan,
133,,1793,4,1,11,1705.58,"389,27",107532.29,fecha_emicion_vacio
134,,1690,4,11,9,"1,209.55",nan,42728.30,fecha_emicion_vacio
135,,1540,19,9,4,533.11,"71,90","70,594.31",fecha_emicion_vacio
136,,1873,36,14,4,685.85,"97,17",nan,fecha_emicion_vacio
137,,2544,48,8,12,1837.21,"337,23","134.569,61",fecha_emicion_vacio
138,,984,50,3,10,nan,95.54,"58.320,88",fecha_emicion_vacio
139,,2715,47,3,1,1887.69,-,"300,624.49",fecha_emicion_vacio
140,2025-02-17,1227,48,8,5,"1.435,54",163.56,"44,225.55",
141,,2101,71,3,5,"1.904,59",167.05,"287,937.30",fecha_emicion_vacio
142,,821,56,4,5,"1.305,77",272.72,"31.298,47",fecha_emicion_vacio
143,,2342,41,10,10,"169,20","9,37",31558.02,fecha_emicion_vacio
144,,354,71,15,10,219.57,53.42,"8,891.18",fecha_emicion_vacio
145,,2461,80,7,12,393.01,55.94,nan,fecha_emicion_vacio
146,2025-12-23,2899,27,9,2,-,-,143545.57,
147,,1556,53,5,6,"357,68",26.25,-,fecha_emicion_vacio
148,,848,13,8,3,505.33,68.83,88566.14,fecha_emicion_vacio
149,,892,71,15,10,229.87,16.79,"25,541.31",fecha_emicion_vacio
150,,1080,76,6,7,104.24,"15,49",6890.09,fecha_emicion_vacio
151,,927,10,14,7,"1.524,01",139.89,138665.57,fecha_emicion_vacio
152,,2349,79,7,4,0.00,nan,"17,302.97",fecha_emicion_vacio
153,,1016,28,12,8,"165,57",24.61,nan,fecha_emicion_vacio
154,2025-04-12,1023,24,4,5,nan,-,"73,105.67",
155,,1918,43,10,12,nan,"9,96","3.222,28",fecha_emicion_vacio
156,,462,28,10,2,1793.62,-,"288,252.92",fecha_emicion_vacio
157,,2910,63,4,7,"1.762,17",nan,96305.30,fecha_emicion_vacio
158,,1121,67,7,12,"985,24",189.50,nan,fecha_emicion_vacio
159,2025-09-04,1637,5,2,5,748.78,"82,65","84,100.56",
160,,1554,9,2,7,1101.08,81.10,"82.850,58",fecha_emicion_vacio
161,,1392,35,7,6,"1,824.05",155.21,167233.60,fecha_emicion_vacio
162,,1094,4,4,5,1760.71,326.32,"235,475.60",fecha_emicion_vacio
163,,354,12,10,7,"1,304.88",101.17,142724.83,fecha_emicion_vacio
164,2026-01-16,851,50,13,9,501.92,"62,00",81059.40,
165,,2934,78,10,2,842.46,"196,92",-,fecha_emicion_vacio
166,2025-05-09,2302,35,4,12,"1.924,36",409.10,"50.238,70",
167,,743,77,6,5,605.91,121.04,58769.89,fecha_emicion_vacio
168,,691,65,1,1,"268,88",65.44,-,fecha_emicion_vacio
169,,1166,41,10,3,-,93.67,84578.57,fecha_emicion_vacio
170,,2800,6,1,2,917.66,131.25,177908.61,fecha_emicion_vacio
171,,2320,39,9,5,225.23,nan,"16,197.54",fecha_emicion_vacio
172,,693,69,13,8,1440.24,"319,57",199499.58,fecha_emicion_vacio
173,,1935,13,14,2,-,"116,08",128228.92,fecha_emicion_vacio
174,,9,63,12,10,-,70.76,11842.93,fecha_emicion_vacio
175,,2362,59,6,5,"386,30",78.61,"68,440.50",fecha_emicion_vacio
176,,2956,62,5,9,"-1,365.65","333,57",149134.25,fecha_emicion_vacio
177,,355,72,14,1,"1,123.67",nan,"56.048,07",fecha_emicion_vacio
178,,833,71,4,10,1310.85,160.19,41123.88,fecha_emicion_vacio
179,,2432,3,8,1,nan,240.54,260639.14,fecha_emicion_vacio
180,,2894,5,10,9,507.43,nan,"64.390,94",fecha_emicion_vacio
181,,1945,37,11,5,nan,210.72,nan,fecha_emicion_vacio
182,,1953,74,6,1,1725.25,nan,94698.24,fecha_emicion_vacio
183,,513,50,11,5,"723,36",174.04,62801.44,fecha_emicion_vacio
184,,1373,12,7,9,-,128.95,49518.48,fecha_emicion_vacio
185,2026-01-04,1468,27,7,12,"1.852,09",243.81,"347,316.23",
186,,2129,30,8,3,"1,795.66",388.90,298913.70,fecha_emicion_vacio
187,,2226,75,5,3,1327.21,-,"240,624.13",fecha_emicion_vacio
188,,1151,47,7,11,-,"102,66",130925.71,fecha_emicion_vacio
189,,1725,74,11,7,1103.69,"252,45",151711.76,fecha_emicion_vacio
190,2025-12-07,2854,70,13,4,953.96,-,"93.787,36",
191,2025-11-12,837,34,12,3,"1,076.04",173.48,144639.86,
192,,1525,3,4,3,234.48,"35,63",36663.52,fecha_emicion_vacio
193,,1786,56,15,12,"1.316,23",-,nan,fecha_emicion_vacio
194,,583,72,10,6,1462.11,"99,14","221.551,14",fecha_emicion_vacio
195,,1641,31,15,11,911.44,-,"129.241,82",fecha_emicion_vacio
196,,1172,54,6,7,1568.46,283.24,87378.20,fecha_emicion_vacio
197,,1558,49,4,11,"1.498,66",nan,"228.469,92",fecha_emicion_vacio
198,,876,77,2,7,1351.69,68.96,"50,400.30",fecha_emicion_vacio
199,,1268,39,15,8,1558.42,251.72,191348.34,fecha_emicion_vacio
200,2026-02-12,239,79,11,1,1218.97,181.78,"225.902,31",
201,,2011,32,12,5,nan,"209,81","147,542.55",fecha_emicion_vacio
202,,2346,4,11,6,-,-,"159,867.32",fecha_emicion_vacio
203,,1121,32,14,5,741.78,127.03,-,fecha_emicion_vacio
204,2025-11-27,2424,50,5,7,"1.614,32",388.18,80347.81,
205,,419,46,7,1,1653.96,249.55,"51.983,28",fecha_emicion_vacio
206,,241,28,8,7,556.14,"58,53",54199.33,fecha_emicion_vacio
207,,974,74,14,11,839.87,"94,57",69882.74,fecha_emicion_vacio
208,,3614,78,4,4,472.52,36.01,nan,fecha_emicion_vacio
209,2026-02-07,1974,25,13,9,72.55,"18,01",nan,
210,,2680,12,10,5,nan,nan,nan,fecha_emicion_vacio
211,,1795,11,9,7,-,"237,61",171128.94,fecha_emicion_vacio
212,,2876,13,10,7,213.27,nan,12711.02,fecha_emicion_vacio
213,,214,28,8,11,192.43,45.37,21029.68,fecha_emicion_vacio
214,,743,54,13,12,306.05,17.31,"18,766.83",fecha_emicion_vacio
215,2025-02-26,483,71,7,1,nan,104.78,58056.65,
216,,1330,46,10,12,nan,-,-,fecha_emicion_vacio
217,,432,3,15,10,1422.59,251.31,174594.04,fecha_emicion_vacio
218,,3630,1,9,2,-,88.01,nan,fecha_emicion_vacio
219,,1052,5,13,9,nan,176.78,"205,287.05",fecha_emicion_vacio
220,,1871,34,6,7,nan,144.19,"127.817,41",fecha_emicion_vacio
221,2025-03-15,2725,80,11,1,"616,19",75.06,115464.32,
222,,1600,78,2,10,1622.52,"144,49",60407.59,fecha_emicion_vacio
223,,1312,75,15,1,312.76,nan,44896.28,fecha_emicion_vacio
224,,777,40,10,9,298.58,63.17,"27.470,47",fecha_emicion_vacio
225,,645,64,12,8,"1.651,96",180.18,"80.061,70",fecha_emicion_vacio
226,,832,44,3,6,1664.22,213.11,43423.44,fecha_emicion_vacio
227,,232,44,13,3,66.10,8.06,"10.033,13",fecha_emicion_vacio
228,,2555,30,5,11,341.36,395.85,"51.411,63",fecha_emicion_vacio
229,,2625,10,5,1,1624.52,-,"263,502.43",fecha_emicion_vacio
230,2025-12-19,1245,6,13,3,238.50,nan,44718.94,
231,,2790,73,7,3,"1.729,95",nan,161771.05,fecha_emicion_vacio
232,,1421,17,7,4,"1.546,13","170,23","176,385.79",fecha_emicion_vacio
233,,2619,42,4,6,"277,67","63,81","54.034,44",fecha_emicion_vacio
234,,2270,68,3,9,-,157.51,"380.748,51",fecha_emicion_vacio
235,,2895,65,8,2,nan,nan,193621.53,fecha_emicion_vacio
236,,2906,18,7,3,235.80,42.67,25121.58,fecha_emicion_vacio
237,2025-02-11,1137,37,6,3,nan,268.64,106698.49,
238,,1485,30,4,4,"1,779.97","368,63","334,475.30",fecha_emicion_vacio
239,,1236,77,10,8,760.38,nan,111154.53,fecha_emicion_vacio
240,,536,15,6,10,nan,180.09,"79,238.61",fecha_emicion_vacio
241,,657,22,3,4,nan,199.83,nan,fecha_emicion_vacio
242,,1884,61,12,8,548.88,77.84,"32,829.84",fecha_emicion_vacio
243,2025-10-09,634,16,14,3,"1,585.52",283.81,nan,
244,,1804,18,7,5,nan,133.24,81691.01,fecha_emicion_vacio
245,,2704,51,1,5,-,274.71,41044.61,fecha_emicion_vacio
246,,2695,40,14,7,735.39,"59,42",-,fecha_emicion_vacio
247,,924,49,5,11,nan,131.17,274013.46,fecha_emicion_vacio
248,,1011,64,10,4,1846.72,nan,320537.24,fecha_emicion_vacio
249,,1500,73,4,6,nan,-,nan,fecha_emicion_vacio
250,,1771,63,14,3,424.38,72.81,nan,fecha_emicion_vacio
251,,1262,68,1,5,601.96,120.32,nan,fecha_emicion_vacio
252,,1575,33,14,8,1422.87,76.42,-,fecha_emicion_vacio
253,,1563,59,10,10,792.74,145.28,71091.98,fecha_emicion_vacio
254,,917,23,1,6,"1.042,39",132.79,nan,fecha_emicion_vacio
255,,2003,60,1,2,275.48,nan,nan,fecha_emicion_vacio
256,,2083,71,12,9,nan,326.26,nan,fecha_emicion_vacio
257,,2855,25,14,7,nan,"132,40","17.045,13",fecha_emicion_vacio
258,,1821,50,7,10,555.60,"92,60","37.621,89",fecha_emicion_vacio
259,,148,17,5,1,"1,560.57",nan,"170.301,72",fecha_emicion_vacio
260,2025-01-14,971,57,13,6,"595,33",132.98,nan,
261,,2956,78,2,4,843.81,106.28,"165.119,46",fecha_emicion_vacio
262,,1441,1,12,7,nan,nan,nan,fecha_emicion_vacio
263,,828,38,15,7,961.19,172.58,65328.26,fecha_emicion_vacio
264,,2337,80,8,5,267.35,45.16,43006.11,fecha_emicion_vacio
265,,184,62,13,9,264.84,nan,"20,928.09",fecha_emicion_vacio
266,,1750,12,5,5,"469,18",53.62,82199.39,fecha_emicion_vacio
267,,761,60,1,12,836.80,nan,"67,062.51",fecha_emicion_vacio
268,,1635,13,14,4,1161.47,87.66,"126,085.89",fecha_emicion_vacio
269,,1685,65,8,1,0.00,132.50,112445.07,fecha_emicion_vacio
270,,168,64,1,8,"1.079,04",nan,153797.15,fecha_emicion_vacio
271,,1773,43,11,5,1395.69,-,"101,033.61",fecha_emicion_vacio
272,,2717,50,13,5,"529,12",126.80,-,fecha_emicion_vacio
273,,2346,41,12,10,470.44,42.33,-,fecha_emicion_vacio
274,,222,16,12,6,359.96,nan,"49,248.02",fecha_emicion_vacio
275,,1637,46,5,1,1958.02,109.40,"249,654.56",fecha_emicion_vacio
276,,482,19,14,11,1238.05,nan,149205.72,fecha_emicion_vacio
277,2025-06-04,2165,16,13,12,"113,44",11.06,22028.53,
278,,1832,27,10,9,nan,150.96,"319,716.88",fecha_emicion_vacio
279,,770,66,14,3,901.35,-,39362.62,fecha_emicion_vacio
280,2025-06-22,1387,76,1,4,154.59,23.60,19097.08,
281,,1387,2,14,12,"1.536,30","234,29",108632.52,fecha_emicion_vacio
282,,1190,6,4,6,"102,19","24,17",-,fecha_emicion_vacio
283,,254,65,13,12,"311,50","25,08",nan,fecha_emicion_vacio
284,,1163,16,3,4,1052.91,"83,89","75.727,87",fecha_emicion_vacio
285,2025-07-06,2457,37,9,5,"1.159,92",229.02,119625.01,
286,,631,43,6,10,480.94,110.77,"90,139.34",fecha_emicion_vacio
287,,605,62,7,6,434.82,"27,20","30.848,23",fecha_emicion_vacio
288,2025-07-06,1378,72,4,5,738.72,128.90,"59.480,36",
289,,2696,62,12,7,nan,52.21,"143.989,06",fecha_emicion_vacio
290,,326,61,2,6,nan,339.80,-,fecha_emicion_vacio
291,,281,54,1,9,nan,nan,132725.63,fecha_emicion_vacio
292,,1514,27,3,1,365.44,39.10,9478.09,fecha_emicion_vacio
293,2025-10-28,175,24,15,1,nan,nan,"158.807,40",
294,,2129,13,13,7,-,212.49,"100,787.99",fecha_emicion_vacio
295,,764,52,7,5,987.43,nan,164812.90,fecha_emicion_vacio
296,,1812,77,13,11,nan,47.20,"99.611,28",fecha_emicion_vacio
297,,1573,79,4,10,1252.38,146.52,45753.53,fecha_emicion_vacio
298,,2390,2,14,9,nan,396.87,nan,fecha_emicion_vacio
299,,2724,18,5,7,1142.36,88.50,nan,fecha_emicion_vacio
300,,1233,67,6,8,1027.81,"61,97",69674.38,fecha_emicion_vacio
301,,1579,72,11,1,nan,18.74,4988.88,fecha_emicion_vacio
302,,679,60,1,6,nan,86.07,"83.621,21",fecha_emicion_vacio
303,,2931,13,14,6,317.71,"31,74",11090.61,fecha_emicion_vacio
304,,917,41,15,9,673.03,106.80,"89,286.47",fecha_emicion_vacio
305,,2007,76,12,12,142.86,161.20,8185.49,fecha_emicion_vacio
306,2025-07-06,619,17,10,2,nan,"129,63","196,786.22",
307,,78,24,6,10,1259.85,87.10,"50.836,92",fecha_emicion_vacio
308,,905,6,7,2,71.14,14.24,"12.910,64",fecha_emicion_vacio
309,,980,20,1,5,529.37,91.01,"52,844.12",fecha_emicion_vacio
310,,355,53,6,6,"1,044.88",139.70,48271.62,fecha_emicion_vacio
311,,236,19,8,12,662.47,34.15,nan,fecha_emicion_vacio
312,,1894,10,13,2,"1.944,37",129.58,nan,fecha_emicion_vacio
313,,2852,30,1,11,1736.83,nan,"122,859.35",fecha_emicion_vacio
314,,444,68,4,1,nan,28.88,48398.37,fecha_emicion_vacio
315,,282,9,6,12,644.32,97.22,"103,239.66",fecha_emicion_vacio
316,,3776,1,6,8,"1,431.90",177.07,106644.92,fecha_emicion_vacio
317,2025-01-17,2621,19,2,8,70.91,17.25,-,
318,,380,58,11,9,779.52,nan,79294.65,fecha_emicion_vacio
319,,2874,9,1,11,726.96,nan,122532.96,fecha_emicion_vacio
320,,2637,64,1,9,"1.224,21",261.15,"183.732,97",fecha_emicion_vacio
321,,830,48,8,1,1344.70,"1,724.81","266,633.14",fecha_emicion_vacio
322,2025-08-19,454,75,11,3,850.81,nan,166822.37,
323,,2484,29,7,1,"1,195.89",76.06,83832.92,fecha_emicion_vacio
324,,689,68,1,6,nan,391.80,260739.67,fecha_emicion_vacio
325,,531,13,2,10,nan,126.53,-,fecha_emicion_vacio
326,,2429,22,3,1,"740,50",-,nan,fecha_emicion_vacio
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16,
328,,2035,34,9,8,nan,201.21,nan,fecha_emicion_vacio
329,,1584,78,10,10,965.87,nan,"80,283.34",fecha_emicion_vacio
330,2025-07-15,2011,15,10,2,1158.76,nan,143147.74,
331,,2628,51,9,3,"1,055.42",-,"169.845,49",fecha_emicion_vacio
332,,2249,63,5,8,"1,033.15",nan,"124,531.25",fecha_emicion_vacio
333,,2372,29,2,8,"1.307,34",198.89,"105.131,68",fecha_emicion_vacio
334,,1976,64,12,8,"1.572,90",255.61,-,fecha_emicion_vacio
335,,282,43,8,6,-,"18,72",20333.48,fecha_emicion_vacio
336,2025-11-26,1444,54,3,10,"550,34","49,47",20954.52,
337,2025-07-24,3574,35,4,10,1304.27,"136,32",nan,
338,2025-06-28,1141,75,3,2,1845.60,92.80,"319,554.79",
339,,2571,76,4,6,924.18,222.40,"53.440,43",fecha_emicion_vacio
340,,1514,51,1,11,"230,39","56,57",21695.02,fecha_emicion_vacio
341,,14,23,2,4,716.28,71.72,"64.529,32",fecha_emicion_vacio
342,,1132,50,7,1,"1,840.74",-,343602.22,fecha_emicion_vacio
343,,1809,74,13,6,261.29,"22,99",11502.80,fecha_emicion_vacio
344,,1385,52,2,7,"1,053.46",243.44,"85,054.56",fecha_emicion_vacio
345,2025-08-11,1606,47,12,1,323.93,38.26,nan,
346,,1529,61,9,3,"1.153,35",220.03,-,fecha_emicion_vacio
347,,1108,65,2,5,nan,"13,60","9,304.45",fecha_emicion_vacio
348,,1317,20,1,2,"1.666,25",356.84,-,fecha_emicion_vacio
349,,2133,51,7,6,"1.267,27",nan,182975.67,fecha_emicion_vacio
350,,1119,74,2,6,423.21,33.82,"17.124,02",fecha_emicion_vacio
351,,2186,22,15,4,615.15,97.58,115731.56,fecha_emicion_vacio
352,,335,32,13,3,69.55,5.42,4481.90,fecha_emicion_vacio
353,,1274,18,10,12,435.91,"108,35",81976.35,fecha_emicion_vacio
354,,2871,64,8,3,"196,33",27.44,15872.78,fecha_emicion_vacio
355,,2758,77,12,8,1934.73,-,"316,696.31",fecha_emicion_vacio
356,2025-10-31,729,63,14,7,"1,517.29",-,"224,140.06",
357,,2655,25,11,11,374.50,"81,21",44517.01,fecha_emicion_vacio
358,,2665,30,2,9,"1.247,68",154.02,"77.789,90",fecha_emicion_vacio
359,,3785,8,6,1,nan,-,nan,fecha_emicion_vacio
360,2025-04-12,3666,59,7,9,"861,49",nan,"36.651,44",
361,,702,21,15,6,1186.26,nan,"65,607.30",fecha_emicion_vacio
362,,2822,46,2,12,"1,422.80",332.01,"35.091,58",fecha_emicion_vacio
363,,2480,2,14,6,nan,148.66,"160,600.88",fecha_emicion_vacio
364,,707,28,11,9,"268,47","41,13",26697.38,fecha_emicion_vacio
365,,2794,41,15,3,1910.72,141.40,"348.837,15",fecha_emicion_vacio
366,,844,31,2,1,"1.992,81",300.46,97957.19,fecha_emicion_vacio
367,,2182,13,9,1,"524,74",70.05,"62.174,08",fecha_emicion_vacio
368,,2229,12,8,1,312.70,"32,01",-,fecha_emicion_vacio
369,,1959,2,4,11,300.30,16.25,"16.152,36",fecha_emicion_vacio
370,,185,3,5,7,53.79,2.82,3905.87,fecha_emicion_vacio
371,,602,17,11,4,-,-,nan,fecha_emicion_vacio
372,2026-01-02,2269,59,8,7,nan,-,"84,920.53",
373,,1870,21,1,5,1038.02,98.58,"72,125.71",fecha_emicion_vacio
374,,465,69,9,11,"109,71",26.59,"13.623,02",fecha_emicion_vacio
375,,1358,80,4,10,nan,63.40,nan,fecha_emicion_vacio
376,,3527,73,6,5,110.64,"14,62","12,500.24",fecha_emicion_vacio
377,,2290,36,3,1,1389.23,-,-,fecha_emicion_vacio
378,,1868,60,12,9,1755.33,276.66,288662.01,fecha_emicion_vacio
379,,573,2,15,5,"92,25",18.56,-,fecha_emicion_vacio
